"","SYMBOL","ENTREZID","GENENAME"
"8972","ITPK1","3705","inositol-tetrakisphosphate 1-kinase"
"8973","PRDX3","10935","peroxiredoxin 3"
"8974","PIGH","5283","phosphatidylinositol glycan anchor biosynthesis class H"
"8975","CTTN","2017","cortactin"
"8976","KIF5C","3800","kinesin family member 5C"
"8977","LMO4","8543","LIM domain only 4"
"8978","ZRANB1","54764","zinc finger RANBP2-type containing 1"
"8979","MRPL51","51258","mitochondrial ribosomal protein L51"
"8980","PXN-AS1","100506649","PXN antisense RNA 1"
"8981","HNRNPH2","3188","heterogeneous nuclear ribonucleoprotein H2"
"8982","OTUD5","55593","OTU deubiquitinase 5"
"8983","ZEB2","9839","zinc finger E-box binding homeobox 2"
"8984","HAUS6","54801","HAUS augmin like complex subunit 6"
"8985","ZNF674","641339","zinc finger protein 674"
"8986","SHOC2","8036","SHOC2 leucine rich repeat scaffold protein"
"8987","GANC","2595","glucosidase alpha, neutral C"
"8988","TMEM175","84286","transmembrane protein 175"
"8989","SBDSP1","155370","SBDS pseudogene 1"
"8990","ARHGEF10L","55160","Rho guanine nucleotide exchange factor 10 like"
"8991","CUBN","8029","cubilin"
"8992","CILP","8483","cartilage intermediate layer protein"
"8993","ZNF324B","388569","zinc finger protein 324B"
"8994","BNIP2","663","BCL2 interacting protein 2"
"8995","FKBP7","51661","FKBP prolyl isomerase 7"
"8996","DNAL1","83544","dynein axonemal light chain 1"
"8997","ZBED4","9889","zinc finger BED-type containing 4"
"8998","MPDU1","9526","mannose-P-dolichol utilization defect 1"
"8999","KCTD12","115207","potassium channel tetramerization domain containing 12"
"9000","ZNF136","7695","zinc finger protein 136"
"9001","SHMT2","6472","serine hydroxymethyltransferase 2"
"9002","SLC13A4","26266","solute carrier family 13 member 4"
"9003","ACADL","33","acyl-CoA dehydrogenase long chain"
"9004","MMP10","4319","matrix metallopeptidase 10"
"9005","MSH4","4438","mutS homolog 4"
"9006","TMEM126B","55863","transmembrane protein 126B"
"9007","ASNA1","439","arsA arsenite transporter, ATP-binding, homolog 1 (bacterial)"
"9008","TRIM5","85363","tripartite motif containing 5"
"9009","ADPRH","141","ADP-ribosylarginine hydrolase"
"9010","DIP2C","22982","disco interacting protein 2 homolog C"
"9011","DCXR","51181","dicarbonyl and L-xylulose reductase"
"9012","CLMP","79827","CXADR like membrane protein"
"9013","DZIP3","9666","DAZ interacting zinc finger protein 3"
"9014","PCSK9","255738","proprotein convertase subtilisin/kexin type 9"
"9015","PIGK","10026","phosphatidylinositol glycan anchor biosynthesis class K"
"9016","GOLT1A","127845","golgi transport 1A"
"9017","SPAG17","200162","sperm associated antigen 17"
"9018","ABCA5","23461","ATP binding cassette subfamily A member 5"
"9019","CHD1","1105","chromodomain helicase DNA binding protein 1"
"9020","ZNF112","7771","zinc finger protein 112"
"9021","CASC4","113201","cancer susceptibility 4"
"9022","BRPF3","27154","bromodomain and PHD finger containing 3"
"9023","SCYL1","57410","SCY1 like pseudokinase 1"
"9024","WSB1","26118","WD repeat and SOCS box containing 1"
"9025","SLC26A8","116369","solute carrier family 26 member 8"
"9026","HERC2P4","100289574","hect domain and RLD 2 pseudogene 4"
"9027","SNORD26","9302","small nucleolar RNA, C/D box 26"
"9028","CHL1","10752","cell adhesion molecule L1 like"
"9029","SCD5","79966","stearoyl-CoA desaturase 5"
"9030","DDX43","55510","DEAD-box helicase 43"
"9031","TPCN1","53373","two pore segment channel 1"
"9032","AZIN1","51582","antizyme inhibitor 1"
"9033","MUC16","94025","mucin 16, cell surface associated"
"9034","SLC34A2","10568","solute carrier family 34 member 2"
"9035","TMPRSS3","64699","transmembrane serine protease 3"
"9036","MUC13","56667","mucin 13, cell surface associated"
"9037","EML5","161436","EMAP like 5"
"9038","PDE1A","5136","phosphodiesterase 1A"
"9039","GLUL","2752","glutamate-ammonia ligase"
"9040","ADAMTS8","11095","ADAM metallopeptidase with thrombospondin type 1 motif 8"
"9041","TNFRSF21","27242","TNF receptor superfamily member 21"
"9042","AOC3","8639","amine oxidase copper containing 3"
"9043","GRB2","2885","growth factor receptor bound protein 2"
"9044","FBXL22","283807","F-box and leucine rich repeat protein 22"
"9045","WHAMMP2","440253","WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2"
"9046","PLCD1","5333","phospholipase C delta 1"
"9047","TRPM6","140803","transient receptor potential cation channel subfamily M member 6"
"9048","AXIN1","8312","axin 1"
"9049","SLC2A10","81031","solute carrier family 2 member 10"
"9050","WRAP73","49856","WD repeat containing, antisense to TP73"
"9051","ZNF341","84905","zinc finger protein 341"
"9052","AKT2","208","AKT serine/threonine kinase 2"
"9053","SDHB","6390","succinate dehydrogenase complex iron sulfur subunit B"
"9054","CDH23","64072","cadherin related 23"
"9055","HIRA","7290","histone cell cycle regulator"
"9056","EMC7","56851","ER membrane protein complex subunit 7"
"9057","PDCD7","10081","programmed cell death 7"
"9058","ARIH1","25820","ariadne RBR E3 ubiquitin protein ligase 1"
"9059","PLIN4","729359","perilipin 4"
"9060","LINC00113","54088","long intergenic non-protein coding RNA 113"
"9061","KCTD20","222658","potassium channel tetramerization domain containing 20"
"9062","GABARAPL1","23710","GABA type A receptor associated protein like 1"
"9063","ST6GALNAC1","55808","ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
"9064","GNAI1","2770","G protein subunit alpha i1"
"9065","LOC100130872","100130872","uncharacterized LOC100130872"
"9066","ANKRD42","338699","ankyrin repeat domain 42"
"9067","FBXL20","84961","F-box and leucine rich repeat protein 20"
"9068","RAPGEF4","11069","Rap guanine nucleotide exchange factor 4"
"9069","CTU1","90353","cytosolic thiouridylase subunit 1"
"9070","STXBP4","252983","syntaxin binding protein 4"
"9071","SEC16B","89866","SEC16 homolog B, endoplasmic reticulum export factor"
"9072","P2RX4","5025","purinergic receptor P2X 4"
"9073","WDR72","256764","WD repeat domain 72"
"9074","SLC22A15","55356","solute carrier family 22 member 15"
"9075","ZNF100","163227","zinc finger protein 100"
"9076","ZNF354A","6940","zinc finger protein 354A"
"9077","ZNF23","7571","zinc finger protein 23"
"9078","TMEM67","91147","transmembrane protein 67"
"9079","CLCA3P","9629","chloride channel accessory 3, pseudogene"
"9080","FAAH2","158584","fatty acid amide hydrolase 2"
"9081","MATN1-AS1","100129196","MATN1 antisense RNA 1"
"9082","SYTL2","54843","synaptotagmin like 2"
"9083","SNORD68","606500","small nucleolar RNA, C/D box 68"
"9084","PPP1R14B","26472","protein phosphatase 1 regulatory inhibitor subunit 14B"
"9085","EAF2","55840","ELL associated factor 2"
"9086","CTSV","1515","cathepsin V"
"9087","CD9","928","CD9 molecule"
"9088","CNTN3","5067","contactin 3"
"9089","HCST","10870","hematopoietic cell signal transducer"
"9090","AMMECR1","9949","Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
"9091","ELN","2006","elastin"
"9092","PLEKHH2","130271","pleckstrin homology, MyTH4 and FERM domain containing H2"
"9093","GPR39","2863","G protein-coupled receptor 39"
"9094","RBL2","5934","RB transcriptional corepressor like 2"
"9095","RERG","85004","RAS like estrogen regulated growth inhibitor"
"9096","SHANK3","85358","SH3 and multiple ankyrin repeat domains 3"
"9097","ADSS","159","adenylosuccinate synthase"
"9098","LINC01094","100505702","long intergenic non-protein coding RNA 1094"
"9099","KIF23","9493","kinesin family member 23"
"9100","PAQR7","164091","progestin and adipoQ receptor family member 7"
"9101","PRR18","285800","proline rich 18"
"9102","FTH1P3","2498","ferritin heavy chain 1 pseudogene 3"
"9103","WNT10A","80326","Wnt family member 10A"
"9104","C6orf62","81688","chromosome 6 open reading frame 62"
"9105","RNF208","727800","ring finger protein 208"
"9106","SAMM50","25813","SAMM50 sorting and assembly machinery component"
"9107","KLK5","25818","kallikrein related peptidase 5"
"9108","HNF1A","6927","HNF1 homeobox A"
"9109","MTFMT","123263","mitochondrial methionyl-tRNA formyltransferase"
"9110","KPNA7","402569","karyopherin subunit alpha 7"
"9111","TMEM218","219854","transmembrane protein 218"
"9112","UCP3","7352","uncoupling protein 3"
"9113","TEX264","51368","testis expressed 264"
"9114","BEAN1","146227","brain expressed associated with NEDD4 1"
"9115","NT5M","56953","5',3'-nucleotidase, mitochondrial"
"9116","ZNF768","79724","zinc finger protein 768"
"9117","SMARCA2","6595","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
"9118","TUB","7275","TUB bipartite transcription factor"
"9119","TMEM167B","56900","transmembrane protein 167B"
"9120","CEP83","51134","centrosomal protein 83"
"9121","SYPL1","6856","synaptophysin like 1"
"9122","KANSL2","54934","KAT8 regulatory NSL complex subunit 2"
"9123","PGM2L1","283209","phosphoglucomutase 2 like 1"
"9124","PFKFB3","5209","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"
"9125","TRIM13","10206","tripartite motif containing 13"
"9126","ZNF37A","7587","zinc finger protein 37A"
"9127","RPP14","11102","ribonuclease P/MRP subunit p14"
"9128","PRKACA","5566","protein kinase cAMP-activated catalytic subunit alpha"
"9129","CPNE4","131034","copine 4"
"9130","RPS6KB1","6198","ribosomal protein S6 kinase B1"
"9131","PPP3R1","5534","protein phosphatase 3 regulatory subunit B, alpha"
"9132","ZCCHC17","51538","zinc finger CCHC-type containing 17"
"9133","PRR7-AS1","340037","PRR7 antisense RNA 1"
"9134","AP1G1","164","adaptor related protein complex 1 subunit gamma 1"
"9135","ZNF48","197407","zinc finger protein 48"
"9136","TSPAN15","23555","tetraspanin 15"
"9137","DUSP23","54935","dual specificity phosphatase 23"
"9138","FGF14-IT1","283480","FGF14 intronic transcript 1"
"9139","ABCB6","10058","ATP binding cassette subfamily B member 6 (Langereis blood group)"
"9140","PFKFB1","5207","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"
"9141","SGCB","6443","sarcoglycan beta"
"9142","LBR","3930","lamin B receptor"
"9143","CPS1","1373","carbamoyl-phosphate synthase 1"
"9144","TNFRSF11A","8792","TNF receptor superfamily member 11a"
"9145","PNP","4860","purine nucleoside phosphorylase"
"9146","LOC100506083","100506083","uncharacterized LOC100506083"
"9147","NRGN","4900","neurogranin"
"9148","NAA25","80018","N(alpha)-acetyltransferase 25, NatB auxiliary subunit"
"9149","TUBB2B","347733","tubulin beta 2B class IIb"
"9150","DRC1","92749","dynein regulatory complex subunit 1"
"9151","TCERG1","10915","transcription elongation regulator 1"
"9152","ZSCAN12P1","221584","zinc finger and SCAN domain containing 12 pseudogene 1"
"9153","GGT1","2678","gamma-glutamyltransferase 1"
"9154","NEK10","152110","NIMA related kinase 10"
"9155","DLGAP1-AS1","649446","DLGAP1 antisense RNA 1"
"9156","UROD","7389","uroporphyrinogen decarboxylase"
"9157","DPF3","8110","double PHD fingers 3"
"9158","ANXA8L1","728113","annexin A8 like 1"
"9159","FER1L5","90342","fer-1 like family member 5"
"9160","GFPT2","9945","glutamine-fructose-6-phosphate transaminase 2"
"9161","COA5","493753","cytochrome c oxidase assembly factor 5"
"9162","SCOC-AS1","100129858","SCOC antisense RNA 1"
"9163","PAFAH2","5051","platelet activating factor acetylhydrolase 2"
"9164","GTF3C5","9328","general transcription factor IIIC subunit 5"
"9165","PATZ1","23598","POZ/BTB and AT hook containing zinc finger 1"
"9166","THAP5","168451","THAP domain containing 5"
"9167","PCLO","27445","piccolo presynaptic cytomatrix protein"
"9168","UTP18","51096","UTP18 small subunit processome component"
"9169","NRIP1","8204","nuclear receptor interacting protein 1"
"9170","TMEM63C","57156","transmembrane protein 63C"
"9171","IRX2","153572","iroquois homeobox 2"
"9172","ZNF404","342908","zinc finger protein 404"
"9173","MPRIP","23164","myosin phosphatase Rho interacting protein"
"9174","TIGD5","84948","tigger transposable element derived 5"
"9175","C17orf97","400566","chromosome 17 open reading frame 97"
"9176","CAD","790","carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
"9177","C8orf34","116328","chromosome 8 open reading frame 34"
"9178","GTPBP4","23560","GTP binding protein 4"
"9179","RAB42","115273","RAB42, member RAS oncogene family"
"9180","AKR1C1","1645","aldo-keto reductase family 1 member C1"
"9181","CHCHD1","118487","coiled-coil-helix-coiled-coil-helix domain containing 1"
"9182","HEXIM1","10614","HEXIM P-TEFb complex subunit 1"
"9183","BARD1","580","BRCA1 associated RING domain 1"
"9184","PPP2R2A","5520","protein phosphatase 2 regulatory subunit Balpha"
"9185","TACO1","51204","translational activator of cytochrome c oxidase I"
"9186","ST13P4","145165","ST13, Hsp70 interacting protein pseudogene 4"
"9187","OAT","4942","ornithine aminotransferase"
"9188","LOC101927550","101927550","uncharacterized LOC101927550"
"9189","SLC22A4","6583","solute carrier family 22 member 4"
"9190","C3orf33","285315","chromosome 3 open reading frame 33"
"9191","GARS","2617","glycyl-tRNA synthetase"
"9192","PI4KB","5298","phosphatidylinositol 4-kinase beta"
"9193","CREBBP","1387","CREB binding protein"
"9194","GRB7","2886","growth factor receptor bound protein 7"
"9195","ZCCHC4","29063","zinc finger CCHC-type containing 4"
"9196","C1orf158","93190","chromosome 1 open reading frame 158"
"9197","FKBP11","51303","FKBP prolyl isomerase 11"
"9198","PSG4","5672","pregnancy specific beta-1-glycoprotein 4"
"9199","GGPS1","9453","geranylgeranyl diphosphate synthase 1"
"9200","ABI1","10006","abl interactor 1"
"9201","RPS6KA3","6197","ribosomal protein S6 kinase A3"
"9202","LINC00926","283663","long intergenic non-protein coding RNA 926"
"9203","LOC101927391","101927391","uncharacterized LOC101927391"
"9204","PPP1R3B","79660","protein phosphatase 1 regulatory subunit 3B"
"9205","AKIRIN1","79647","akirin 1"
"9206","DONSON","29980","downstream neighbor of SON"
"9207","RB1CC1","9821","RB1 inducible coiled-coil 1"
"9208","ARRDC2","27106","arrestin domain containing 2"
"9209","SPEN","23013","spen family transcriptional repressor"
"9210","ZDHHC18","84243","zinc finger DHHC-type containing 18"
"9211","NDUFS4","4724","NADH:ubiquinone oxidoreductase subunit S4"
"9212","ZMAT3","64393","zinc finger matrin-type 3"
"9213","ZNF16","7564","zinc finger protein 16"
"9214","AP1S3","130340","adaptor related protein complex 1 subunit sigma 3"
"9215","LINC01014","100874330","long intergenic non-protein coding RNA 1014"
"9216","SNHG21","100505616","small nucleolar RNA host gene 21"
"9217","SEC31A","22872","SEC31 homolog A, COPII coat complex component"
"9218","CLNK","116449","cytokine dependent hematopoietic cell linker"
"9219","PROM1","8842","prominin 1"
"9220","SEL1L","6400","SEL1L adaptor subunit of ERAD E3 ubiquitin ligase"
"9221","PI4K2B","55300","phosphatidylinositol 4-kinase type 2 beta"
"9222","MYO3B","140469","myosin IIIB"
"9223","TBC1D7","51256","TBC1 domain family member 7"
"9224","TNFRSF14","8764","TNF receptor superfamily member 14"
"9225","MRPL15","29088","mitochondrial ribosomal protein L15"
"9226","NAV1","89796","neuron navigator 1"
"9227","FNIP2","57600","folliculin interacting protein 2"
"9228","ARL5B","221079","ADP ribosylation factor like GTPase 5B"
"9229","GORAB","92344","golgin, RAB6 interacting"
"9230","NCCRP1","342897","non-specific cytotoxic cell receptor protein 1 homolog (zebrafish)"
"9231","CNTD2","79935","cyclin N-terminal domain containing 2"
"9232","ADAMTS3","9508","ADAM metallopeptidase with thrombospondin type 1 motif 3"
"9233","HILPDA","29923","hypoxia inducible lipid droplet associated"
"9234","MIER2","54531","MIER family member 2"
"9235","GPN1","11321","GPN-loop GTPase 1"
"9236","IGFL1","374918","IGF like family member 1"
"9237","CCDC130","81576","coiled-coil domain containing 130"
"9238","MLIP-IT1","100874282","MLIP intronic transcript 1"
"9239","ZNF552","79818","zinc finger protein 552"
"9240","SRSF6","6431","serine and arginine rich splicing factor 6"
"9241","OTUD6B-AS1","100506365","OTUD6B antisense RNA 1 (head to head)"
"9242","LINC00322","100126693","long intergenic non-protein coding RNA 322"
"9243","RARS","5917","arginyl-tRNA synthetase"
"9244","FNBP1","23048","formin binding protein 1"
"9245","CRB3","92359","crumbs cell polarity complex component 3"
"9246","VAV3","10451","vav guanine nucleotide exchange factor 3"
"9247","RDH11","51109","retinol dehydrogenase 11"
"9248","CAMLG","819","calcium modulating ligand"
"9249","CDC25B","994","cell division cycle 25B"
"9250","VKORC1","79001","vitamin K epoxide reductase complex subunit 1"
"9251","TAS2R20","259295","taste 2 receptor member 20"
"9252","SNRPA","6626","small nuclear ribonucleoprotein polypeptide A"
"9253","DSCC1","79075","DNA replication and sister chromatid cohesion 1"
"9254","GIT2","9815","GIT ArfGAP 2"
"9255","CPNE7","27132","copine 7"
"9256","EDC3","80153","enhancer of mRNA decapping 3"
"9257","HMGCR","3156","3-hydroxy-3-methylglutaryl-CoA reductase"
"9258","ARHGEF34P","728377","Rho guanine nucleotide exchange factor 34, pseudogene"
"9259","GGCT","79017","gamma-glutamylcyclotransferase"
"9260","TRIP4","9325","thyroid hormone receptor interactor 4"
"9261","MMAB","326625","metabolism of cobalamin associated B"
"9262","TMEM161B-AS1","100505894","TMEM161B antisense RNA 1"
"9263","SPIN2B","474343","spindlin family member 2B"
"9264","DLEU2L","79469","deleted in lymphocytic leukemia 2 like"
"9265","FAM72B","653820","family with sequence similarity 72 member B"
"9266","SGMS1","259230","sphingomyelin synthase 1"
"9267","NUTF2","10204","nuclear transport factor 2"
"9268","CDR2","1039","cerebellar degeneration related protein 2"
"9269","SPHK1","8877","sphingosine kinase 1"
"9270","UGT1A8","54576","UDP glucuronosyltransferase family 1 member A8"
"9271","DDHD2","23259","DDHD domain containing 2"
"9272","HES2","54626","hes family bHLH transcription factor 2"
"9273","CBX6","23466","chromobox 6"
"9274","PAPOLA","10914","poly(A) polymerase alpha"
"9275","ADD3","120","adducin 3"
"9276","FKBP10","60681","FKBP prolyl isomerase 10"
"9277","RGS7BP","401190","regulator of G protein signaling 7 binding protein"
"9278","LOC101929231","101929231","uncharacterized LOC101929231"
"9279","SNHG11","128439","small nucleolar RNA host gene 11"
"9280","RHOQ","23433","ras homolog family member Q"
"9281","CHM","1121","CHM Rab escort protein"
"9282","HSD11B2","3291","hydroxysteroid 11-beta dehydrogenase 2"
"9283","MED7","9443","mediator complex subunit 7"
"9284","EPB41L1","2036","erythrocyte membrane protein band 4.1 like 1"
"9285","FZD1","8321","frizzled class receptor 1"
"9286","B4GALT6","9331","beta-1,4-galactosyltransferase 6"
"9287","FAM131C","348487","family with sequence similarity 131 member C"
"9288","EDEM3","80267","ER degradation enhancing alpha-mannosidase like protein 3"
"9289","C11orf94","143678","chromosome 11 open reading frame 94"
"9290","LYRM1","57149","LYR motif containing 1"
"9291","STK4-AS1","100505826","STK4 antisense RNA 1 (head to head)"
"9292","IGF2R","3482","insulin like growth factor 2 receptor"
"9293","POC5","134359","POC5 centriolar protein"
"9294","AHCTF1P1","285116","AT-hook containing transcription factor 1 pseudogene 1"
"9295","FAM174B","400451","family with sequence similarity 174 member B"
"9296","SLC26A7","115111","solute carrier family 26 member 7"
"9297","COL6A3","1293","collagen type VI alpha 3 chain"
"9298","SC5D","6309","sterol-C5-desaturase"
"9299","SOX7","83595","SRY-box 7"
"9300","ZFX","7543","zinc finger protein X-linked"
"9301","LOC100133331","100133331","uncharacterized LOC100133331"
"9302","FAM177B","400823","family with sequence similarity 177 member B"
"9303","GLO1","2739","glyoxalase I"
"9304","RELL2","285613","RELT like 2"
"9305","CALB2","794","calbindin 2"
"9306","KCNJ2","3759","potassium voltage-gated channel subfamily J member 2"
"9307","TSPAN33","340348","tetraspanin 33"
"9308","C19orf12","83636","chromosome 19 open reading frame 12"
"9309","HCG26","352961","HLA complex group 26"
"9310","CALM2","805","calmodulin 2"
"9311","MYL12A","10627","myosin light chain 12A"
"9312","NOD2","64127","nucleotide binding oligomerization domain containing 2"
"9313","TMEM97","27346","transmembrane protein 97"
"9314","GPR179","440435","G protein-coupled receptor 179"
"9315","HADH","3033","hydroxyacyl-CoA dehydrogenase"
"9316","RCC1","1104","regulator of chromosome condensation 1"
"9317","LOC100506403","100506403","uncharacterized LOC100506403"
"9318","CWH43","80157","cell wall biogenesis 43 C-terminal homolog"
"9319","NELFCD","51497","negative elongation factor complex member C/D"
"9320","FOXJ3","22887","forkhead box J3"
"9321","SMCHD1","23347","structural maintenance of chromosomes flexible hinge domain containing 1"
"9322","ARMC12","221481","armadillo repeat containing 12"
"9323","KLRG1","10219","killer cell lectin like receptor G1"
"9324","IFRD1","3475","interferon related developmental regulator 1"
"9325","RRS1","23212","ribosome biogenesis regulator 1 homolog"
"9326","IL17C","27189","interleukin 17C"
"9327","GSTM1","2944","glutathione S-transferase mu 1"
"9328","PTBP3","9991","polypyrimidine tract binding protein 3"
"9329","WDR92","116143","WD repeat domain 92"
"9330","BDNF","627","brain derived neurotrophic factor"
"9331","WTAP","9589","WT1 associated protein"
"9332","ZNF180","7733","zinc finger protein 180"
"9333","LOC102467080","102467080","uncharacterized LOC102467080"
"9334","AQP3","360","aquaporin 3 (Gill blood group)"
"9335","ARHGEF38","54848","Rho guanine nucleotide exchange factor 38"
"9336","BANF1","8815","barrier to autointegration factor 1"
"9337","YOD1","55432","YOD1 deubiquitinase"
"9338","NUB1","51667","negative regulator of ubiquitin like proteins 1"
"9339","GPRC5A","9052","G protein-coupled receptor class C group 5 member A"
"9340","ASCC1","51008","activating signal cointegrator 1 complex subunit 1"
"9341","MRPL41","64975","mitochondrial ribosomal protein L41"
"9342","GRIK2","2898","glutamate ionotropic receptor kainate type subunit 2"
"9343","ARRB2","409","arrestin beta 2"
"9344","DCDC2B","149069","doublecortin domain containing 2B"
"9345","PHTF1","10745","putative homeodomain transcription factor 1"
"9346","MIR6840","102466747","microRNA 6840"
"9347","VPS8","23355","VPS8 subunit of CORVET complex"
"9348","KCNS1","3787","potassium voltage-gated channel modifier subfamily S member 1"
"9349","PPM1L","151742","protein phosphatase, Mg2+/Mn2+ dependent 1L"
"9350","SHH","6469","sonic hedgehog signaling molecule"
"9351","DYNLRB2","83657","dynein light chain roadblock-type 2"
"9352","CALCOCO1","57658","calcium binding and coiled-coil domain 1"
"9353","DKFZP586I1420","222161","uncharacterized protein DKFZp586I1420"
"9354","GLRX","2745","glutaredoxin"
"9355","SMIM3","85027","small integral membrane protein 3"
"9356","MEIG1","644890","meiosis/spermiogenesis associated 1"
"9357","WTAPP1","100288077","Wilms tumor 1 associated protein pseudogene 1"
"9358","ELAC1","55520","elaC ribonuclease Z 1"
"9359","MPDZ","8777","multiple PDZ domain crumbs cell polarity complex component"
"9360","AURKC","6795","aurora kinase C"
"9361","FARP1","10160","FERM, ARH/RhoGEF and pleckstrin domain protein 1"
"9362","MEIS3","56917","Meis homeobox 3"
"9363","PHKB","5257","phosphorylase kinase regulatory subunit beta"
"9364","MIR4521","100616406","microRNA 4521"
"9365","PARD3B","117583","par-3 family cell polarity regulator beta"
"9366","MAPK11","5600","mitogen-activated protein kinase 11"
"9367","MCC","4163","MCC regulator of WNT signaling pathway"
"9368","NHS","4810","NHS actin remodeling regulator"
"9369","DUSP12","11266","dual specificity phosphatase 12"
"9370","VPS4A","27183","vacuolar protein sorting 4 homolog A"
"9371","ABHD8","79575","abhydrolase domain containing 8"
"9372","RMDN3","55177","regulator of microtubule dynamics 3"
"9373","ULBP1","80329","UL16 binding protein 1"
"9374","SOX5","6660","SRY-box 5"
"9375","LOC100128288","100128288","uncharacterized LOC100128288"
"9376","FAM104B","90736","family with sequence similarity 104 member B"
"9377","CD44","960","CD44 molecule (Indian blood group)"
"9378","CASKIN1","57524","CASK interacting protein 1"
"9379","PVR","5817","PVR cell adhesion molecule"
"9380","ZSCAN21","7589","zinc finger and SCAN domain containing 21"
"9381","TMEM11","8834","transmembrane protein 11"
"9382","SHPRH","257218","SNF2 histone linker PHD RING helicase"
"9383","ARSJ","79642","arylsulfatase family member J"
"9384","PTPRH","5794","protein tyrosine phosphatase receptor type H"
"9385","KDM5A","5927","lysine demethylase 5A"
"9386","GNB1L","54584","G protein subunit beta 1 like"
"9387","ARL9","132946","ADP ribosylation factor like GTPase 9"
"9388","MATN2","4147","matrilin 2"
"9389","AGO1","26523","argonaute RISC component 1"
"9390","LOC100506124","100506124","uncharacterized LOC100506124"
"9391","TNNI2","7136","troponin I2, fast skeletal type"
"9392","TAS2R3","50831","taste 2 receptor member 3"
"9393","SLC25A17","10478","solute carrier family 25 member 17"
"9394","CRNDE","643911","colorectal neoplasia differentially expressed"
"9395","TMEM243","79161","transmembrane protein 243"
"9396","SNORA27","619499","small nucleolar RNA, H/ACA box 27"
"9397","CDSN","1041","corneodesmosin"
"9398","SOD3","6649","superoxide dismutase 3"
"9399","CREB1","1385","cAMP responsive element binding protein 1"
"9400","USP32","84669","ubiquitin specific peptidase 32"
"9401","NDUFS5","4725","NADH:ubiquinone oxidoreductase subunit S5"
"9402","PISD","23761","phosphatidylserine decarboxylase"
"9403","PRCD","768206","photoreceptor disc component"
"9404","LINC01353","100506775","long intergenic non-protein coding RNA 1353"
"9405","LSM2","57819","LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated"
"9406","C2CD4C","126567","C2 calcium dependent domain containing 4C"
"9407","CUEDC1","404093","CUE domain containing 1"
"9408","SCNN1D","6339","sodium channel epithelial 1 delta subunit"
"9409","LINC01123","440894","long intergenic non-protein coding RNA 1123"
"9410","SNORD31","9298","small nucleolar RNA, C/D box 31"
"9411","CDH5","1003","cadherin 5"
"9412","PRSS23","11098","serine protease 23"
"9413","RNF31","55072","ring finger protein 31"
"9414","LINC00630","100287765","long intergenic non-protein coding RNA 630"
"9415","NFKBIA","4792","NFKB inhibitor alpha"
"9416","WDR73","84942","WD repeat domain 73"
"9417","SRP68","6730","signal recognition particle 68"
"9418","ITGB2-AS1","100505746","ITGB2 antisense RNA 1"
"9419","IER5L","389792","immediate early response 5 like"
"9420","CFL1","1072","cofilin 1"
"9421","NPC1L1","29881","NPC1 like intracellular cholesterol transporter 1"
"9422","GBP4","115361","guanylate binding protein 4"
"9423","SLC4A8","9498","solute carrier family 4 member 8"
"9424","ACVR1","90","activin A receptor type 1"
"9425","MSANTD4","84437","Myb/SANT DNA binding domain containing 4 with coiled-coils"
"9426","CHRNA7","1139","cholinergic receptor nicotinic alpha 7 subunit"
"9427","KCNQ4","9132","potassium voltage-gated channel subfamily Q member 4"
"9428","RNASEH2A","10535","ribonuclease H2 subunit A"
"9429","ZBTB3","79842","zinc finger and BTB domain containing 3"
"9430","FAM172A","83989","family with sequence similarity 172 member A"
"9431","RTEL1","51750","regulator of telomere elongation helicase 1"
"9432","YES1","7525","YES proto-oncogene 1, Src family tyrosine kinase"
"9433","ABHD4","63874","abhydrolase domain containing 4"
"9434","GSPT2","23708","G1 to S phase transition 2"
"9435","TMEM200C","645369","transmembrane protein 200C"
"9436","ABCA1","19","ATP binding cassette subfamily A member 1"
"9437","TEKT3","64518","tektin 3"
"9438","NUPR1","26471","nuclear protein 1, transcriptional regulator"
"9439","IFNGR1","3459","interferon gamma receptor 1"
"9440","DGCR8","54487","DGCR8 microprocessor complex subunit"
"9441","ZNF846","162993","zinc finger protein 846"
"9442","AOX1","316","aldehyde oxidase 1"
"9443","SLC4A11","83959","solute carrier family 4 member 11"
"9444","KRBOX4","55634","KRAB box domain containing 4"
"9445","LCMT2","9836","leucine carboxyl methyltransferase 2"
"9446","KLHL12","59349","kelch like family member 12"
"9447","DMXL2","23312","Dmx like 2"
"9448","SNORA23","677808","small nucleolar RNA, H/ACA box 23"
"9449","CLPTM1","1209","CLPTM1 regulator of GABA type A receptor forward trafficking"
"9450","PHACTR3","116154","phosphatase and actin regulator 3"
"9451","GSTT1","2952","glutathione S-transferase theta 1"
"9452","PDK3","5165","pyruvate dehydrogenase kinase 3"
"9453","DCTPP1","79077","dCTP pyrophosphatase 1"
"9454","EIF4G1","1981","eukaryotic translation initiation factor 4 gamma 1"
"9455","CAPN3","825","calpain 3"
